TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate,TrnRef
2,104,18,500,0,2,zemy,1712,09-10-2017 00:00,
2,104,21,1895.01,0,2,0,61327,05-01-2022 00:00,
2,104,22,1045,0,2,0,718200,05-01-2022 00:00,
2,104,23,665,0,2,0,718201,05-01-2022 00:00,
2,106,1,1800,0,2,sysadmin,6,01-01-2015 00:00,
2,106,3,0,0,2,0,956999,15-09-2023 00:00,
2,106,4,30,0,2,0,938481,15-09-2023 00:00,
2,106,5,1800,0,2,0,938482,15-09-2023 00:00,
2,106,8,400,0,2,zemy,1714,19-07-2017 00:00,
2,106,11,0,0,2,0,957000,15-09-2023 00:00,
2,106,13,0,0,2,0,957001,15-09-2023 00:00,
2,106,15,0,0,2,0,957002,15-09-2023 00:00,
2,106,17,0,0,2,0,957003,15-09-2023 00:00,
2,106,21,127.5,0,2,0,61379,15-09-2023 00:00,
2,106,22,198,0,2,0,540855,15-09-2023 00:00,
2,106,23,126,0,2,0,540856,15-09-2023 00:00,
2,106,24,0,0,2,0,957004,15-09-2023 00:00,
2,106,25,0,0,2,0,957005,15-09-2023 00:00,
2,106,27,0,0,2,0,957006,15-09-2023 00:00,
2,106,33,0,0,2,0,957007,15-09-2023 00:00,
2,106,34,0,0,2,0,957008,15-09-2023 00:00,
2,106,35,0,0,2,0,957009,15-09-2023 00:00,
2,106,37,0,0,2,0,957010,15-09-2023 00:00,
2,106,39,0,0,2,0,957011,15-09-2023 00:00,
2,106,41,0,0,2,0,957012,15-09-2023 00:00,
2,106,44,0,0,2,0,957013,15-09-2023 00:00,
2,106,48,0,0,2,0,957014,15-09-2023 00:00,
2,106,50,0,0,2,0,957016,15-09-2023 00:00,
2,106,51,1800,0,2,0,938502,15-09-2023 00:00,
2,106,52,2200,0,2,0,938501,15-09-2023 00:00,
2,106,62,0,0,2,0,957015,15-09-2023 00:00,
2,106,99,1946.5,0,2,0,938499,15-09-2023 00:00,
2,107,1,5600,0,2,zemy,7,06-02-2020 00:00,
2,107,8,1200,0,2,zemy,1715,09-10-2017 00:00,
2,107,18,1000,0,2,zemy,659503,05-06-2021 00:00,
2,107,21,835.01,0,2,0,61405,04-01-2022 00:00,
2,107,22,616,0,2,0,380494,04-01-2022 00:00,
2,107,23,392,0,2,0,380495,04-01-2022 00:00,
2,108,1,9000,0,2,zemy,8,05-08-2023 00:00,
2,108,3,0,0,2,0,957017,15-09-2023 00:00,
2,108,4,30,0,2,0,938504,15-09-2023 00:00,
2,108,5,9000,0,2,0,938505,15-09-2023 00:00,
2,108,8,2000,0,2,zemy,61,05-06-2021 00:00,
2,108,11,0,0,2,0,957018,15-09-2023 00:00,
2,108,13,0,0,2,0,957019,15-09-2023 00:00,
2,108,15,0,0,2,0,957020,15-09-2023 00:00,
2,108,17,0,0,2,0,957021,15-09-2023 00:00,
2,108,18,2000,0,2,zemy,659502,05-08-2023 00:00,
2,108,21,1745.01,0,2,0,61431,15-09-2023 00:00,
2,108,22,990,0,2,0,933595,15-09-2023 00:00,
2,108,23,630,0,2,0,933596,15-09-2023 00:00,
2,108,24,0,0,2,0,957022,15-09-2023 00:00,
