TrnPeriodNumber,TrnEmpCode,TrnParCode,TrnAmount,TrnAffectAmount,TrnPrintFlag,TrnuserId,TrnRecordno,TrnDate
12,133,14,4,0,0,zemy,4041,19-07-2017 00:00
12,133,46,800,0,0,zemy,4038,19-07-2017 00:00
12,134,1,6300,0,0,sysadmin,34,01-01-2015 00:00
12,134,8,1500,0,0,zemy,4042,19-07-2017 00:00
12,135,1,1800,0,0,sysadmin,35,01-01-2015 00:00
12,135,8,400,0,0,zemy,4043,19-07-2017 00:00
12,135,10,2,0,0,zemy,4045,19-07-2017 00:00
12,136,1,2000,0,0,sysadmin,36,01-01-2015 00:00
12,136,8,400,0,0,zemy,4046,19-07-2017 00:00
12,136,10,2,0,0,zemy,4048,19-07-2017 00:00
12,136,46,800,0,0,zemy,4047,19-07-2017 00:00
12,137,1,1800,0,0,sysadmin,37,01-01-2015 00:00
12,137,8,400,0,0,zemy,4049,19-07-2017 00:00
12,137,46,400,0,0,zemy,4050,19-07-2017 00:00
12,138,1,1600,0,0,sysadmin,38,01-01-2015 00:00
12,138,8,400,0,0,zemy,4051,19-07-2017 00:00
12,138,10,9,0,0,zemy,4053,19-07-2017 00:00
12,138,12,8,0,0,zemy,4054,19-07-2017 00:00
12,138,14,9,0,0,zemy,4055,19-07-2017 00:00
12,138,16,4,0,0,zemy,4056,19-07-2017 00:00
12,138,46,500,0,0,zemy,4052,19-07-2017 00:00
12,139,1,2700,0,0,sysadmin,39,01-01-2015 00:00
12,139,8,600,0,0,zemy,4057,19-07-2017 00:00
12,139,10,3,0,0,zemy,4059,19-07-2017 00:00
12,139,12,9.5,0,0,zemy,4060,19-07-2017 00:00
12,139,14,20,0,0,zemy,4061,19-07-2017 00:00
12,139,46,1000,0,0,zemy,4058,19-07-2017 00:00
12,140,1,4500,0,0,sysadmin,40,01-01-2015 00:00
12,140,8,1000,0,0,zemy,4062,19-07-2017 00:00
12,140,12,3.5,0,0,zemy,4064,19-07-2017 00:00
12,140,14,4,0,0,zemy,4065,19-07-2017 00:00
12,141,1,6500,0,0,sysadmin,41,01-01-2015 00:00
12,141,8,1500,0,0,zemy,4066,19-07-2017 00:00
12,141,12,3.5,0,0,zemy,4068,19-07-2017 00:00
12,141,14,3.5,0,0,zemy,4069,19-07-2017 00:00
12,141,46,300,0,0,zemy,4067,19-07-2017 00:00
12,142,1,950,0,0,zemy,42,19-07-2017 00:00
12,142,8,200,0,0,zemy,4071,19-07-2017 00:00
12,143,1,1500,0,0,sysadmin,43,01-01-2015 00:00
12,143,8,300,0,0,zemy,4072,19-07-2017 00:00
12,143,12,2.5,0,0,zemy,4074,19-07-2017 00:00
12,143,14,4,0,0,zemy,4075,19-07-2017 00:00
12,144,1,1200,0,0,sysadmin,44,01-01-2015 00:00
12,144,8,200,0,0,zemy,4076,19-07-2017 00:00
12,144,46,200,0,0,zemy,4077,19-07-2017 00:00
12,145,1,4700,0,0,sysadmin,45,01-01-2015 00:00
12,145,8,1100,0,0,zemy,4078,19-07-2017 00:00
12,146,1,2500,0,0,sysadmin,46,01-01-2015 00:00
12,146,8,500,0,0,zemy,4080,19-07-2017 00:00
12,146,46,500,0,0,zemy,4079,19-07-2017 00:00
12,147,1,2700,0,0,sysadmin,47,01-01-2015 00:00
12,147,8,500,0,0,zemy,4081,19-07-2017 00:00
12,147,10,2,0,0,zemy,4083,19-07-2017 00:00
12,147,12,7,0,0,zemy,4084,19-07-2017 00:00
12,147,14,4,0,0,zemy,4085,19-07-2017 00:00
12,147,46,500,0,0,zemy,4082,19-07-2017 00:00
12,148,1,2700,0,0,sysadmin,48,01-01-2015 00:00
12,148,8,600,0,0,zemy,4086,19-07-2017 00:00
12,148,10,2,0,0,zemy,4088,19-07-2017 00:00
12,148,12,4.5,0,0,zemy,4089,19-07-2017 00:00
12,148,16,4,0,0,zemy,4090,19-07-2017 00:00
12,148,46,500,0,0,zemy,4087,19-07-2017 00:00
12,149,1,2480,0,0,sysadmin,49,01-01-2015 00:00
12,149,8,600,0,0,zemy,4091,19-07-2017 00:00
12,149,10,2,0,0,zemy,4093,19-07-2017 00:00
12,149,12,8,0,0,zemy,4094,19-07-2017 00:00
12,149,14,4,0,0,zemy,4095,19-07-2017 00:00
12,149,16,4,0,0,zemy,4096,19-07-2017 00:00
12,149,46,700,0,0,zemy,4092,19-07-2017 00:00
12,150,1,1800,0,0,sysadmin,50,01-01-2015 00:00
12,150,8,400,0,0,zemy,4097,19-07-2017 00:00
12,150,12,2.5,0,0,zemy,4099,19-07-2017 00:00
12,150,46,500,0,0,zemy,4098,19-07-2017 00:00
12,151,1,1900,0,0,sysadmin,51,01-01-2015 00:00
12,151,8,400,0,0,zemy,4100,19-07-2017 00:00
12,151,46,600,0,0,zemy,4101,19-07-2017 00:00
12,152,1,25063,0,0,sysadmin,52,01-01-2015 00:00
12,152,8,2200,0,0,zemy,4102,19-07-2017 00:00
12,152,9,1800,0,0,zemy,4104,03-08-2017 00:00
12,152,18,1000,0,0,zemy,4103,19-07-2017 00:00
12,153,1,2900,0,0,sysadmin,53,01-01-2015 00:00
12,153,8,400,0,0,zemy,4105,19-07-2017 00:00
12,153,12,6,0,0,zemy,4107,19-07-2017 00:00
12,153,14,8,0,0,zemy,4108,19-07-2017 00:00
12,153,46,300,0,0,zemy,4106,19-07-2017 00:00
12,154,1,1200,0,0,sysadmin,54,01-01-2015 00:00
12,154,8,200,0,0,zemy,4109,19-07-2017 00:00
12,154,12,3,0,0,zemy,4111,19-07-2017 00:00
12,154,46,400,0,0,zemy,4110,19-07-2017 00:00
12,155,1,1200,0,0,sysadmin,55,01-01-2015 00:00
12,155,8,200,0,0,zemy,4112,19-07-2017 00:00
12,155,12,4,0,0,zemy,4114,19-07-2017 00:00
12,155,46,300,0,0,zemy,4113,19-07-2017 00:00
12,156,1,1500,0,0,sysadmin,56,01-01-2015 00:00
12,156,8,300,0,0,zemy,4115,19-07-2017 00:00
12,157,1,1200,0,0,sysadmin,57,01-01-2015 00:00
12,157,8,200,0,0,zemy,4116,19-07-2017 00:00
12,157,46,300,0,0,zemy,4117,19-07-2017 00:00
12,158,1,1350,0,0,sysadmin,58,01-01-2015 00:00
12,158,8,300,0,0,zemy,4118,19-07-2017 00:00
12,159,1,1200,0,0,sysadmin,59,01-01-2015 00:00
12,159,8,200,0,0,zemy,4119,19-07-2017 00:00
12,159,12,7,0,0,zemy,4121,19-07-2017 00:00
12,159,14,8,0,0,zemy,4122,19-07-2017 00:00
12,159,46,400,0,0,zemy,4120,19-07-2017 00:00
12,160,1,3500,0,0,sysadmin,60,01-01-2015 00:00
12,160,8,700,0,0,zemy,4123,19-07-2017 00:00
12,160,12,4.3,0,0,zemy,4125,19-07-2017 00:00
12,160,46,500,0,0,zemy,4124,19-07-2017 00:00
12,161,1,1200,0,0,0476-59-71-87-,4126,25-07-2017 00:00
12,161,8,200,0,0,zemy,4138,25-07-2017 00:00
12,162,1,1600,0,0,0476-59-71-87-,4127,25-07-2017 00:00
12,162,8,400,0,0,zemy,4139,25-07-2017 00:00
12,162,12,2.5,0,0,sysadmin,5508,03-08-2017 00:00
12,162,46,300,0,0,sysadmin,5509,03-08-2017 00:00
12,163,1,3800,0,0,0476-59-71-87-,4128,25-07-2017 00:00
12,163,8,700,0,0,sysadmin,5512,03-08-2017 00:00
12,163,14,7,0,0,sysadmin,5510,03-08-2017 00:00
12,163,46,1000,0,0,sysadmin,5511,03-08-2017 00:00
12,164,1,1350,0,0,0476-59-71-87-,4129,25-07-2017 00:00
12,164,8,300,0,0,sysadmin,5513,03-08-2017 00:00
12,165,1,1600,0,0,0476-59-71-87-,4130,25-07-2017 00:00
12,165,10,2,0,0,sysadmin,5514,03-08-2017 00:00
12,166,1,1300,0,0,0476-59-71-87-,4131,25-07-2017 00:00
12,166,8,300,0,0,sysadmin,5515,03-08-2017 00:00
12,167,1,1600,0,0,0476-59-71-87-,4132,25-07-2017 00:00
12,167,8,400,0,0,zemy,6714,03-08-2017 00:00
12,168,1,2150,0,0,0476-59-71-87-,4133,25-07-2017 00:00
12,168,8,536,0,0,zemy,6715,03-08-2017 00:00
12,169,1,2150,0,0,0476-59-71-87-,4134,25-07-2017 00:00
12,170,1,2500,0,0,0476-59-71-87-,4135,25-07-2017 00:00
12,170,8,500,0,0,zemy,6716,03-08-2017 00:00
12,171,1,1200,0,0,0476-59-71-87-,4136,25-07-2017 00:00
12,171,8,200,0,0,zemy,6717,03-08-2017 00:00
12,172,1,1700,0,0,0476-59-71-87-,4137,25-07-2017 00:00
12,172,8,400,0,0,zemy,6718,03-08-2017 00:00
