LoanEmpCode,LoanParCode,LoanOrgAmt,LoanRepAmt,LoanRemAmt,LoantrDate
108,36,351,0,0,1/1/1900 0:00
108,49,105,0,0,1/1/1900 0:00
108,100,100,0,0,1/1/1900 0:00
111,27,1293.75,0,0,7/7/2014 0:00
111,33,322.5,0,0,1/1/1900 0:00
111,34,6900,0,0,7/7/2014 0:00
112,27,1586.25,0,0,7/7/2014 0:00
112,33,100,0,0,1/1/1900 0:00
112,34,11810,0,0,7/7/2014 0:00
112,49,100,0,0,1/1/1900 0:00
112,100,50,0,0,1/1/1900 0:00
113,27,630,0,0,7/7/2014 0:00
113,33,130,0,0,1/1/1900 0:00
113,34,4660,0,0,7/7/2014 0:00
115,27,1586.25,0,0,7/7/2014 0:00
115,33,3700,0,0,1/1/1900 0:00
115,34,23280,2116.36,23280,7/7/2014 0:00
115,36,353.75,0,0,7/7/2014 0:00
115,49,105,0,0,1/1/1900 0:00
115,100,100,0,0,1/1/1900 0:00
115,101,100,0,0,1/1/1900 0:00
118,27,1164.37,0,0,7/7/2014 0:00
118,33,100,0,0,7/7/2014 0:00
118,34,8400,0,0,1/1/1900 0:00
118,35,625.6,0,0,1/1/1900 0:00
118,36,356,0,0,1/1/1900 0:00
118,49,30,0,0,1/1/1900 0:00
118,100,120,0,0,1/1/1900 0:00
124,27,4927.5,0,0,7/7/2014 0:00
124,33,154.8,0,0,1/1/1900 0:00
124,34,13140,0,0,7/7/2014 0:00
124,36,331.26,0,0,7/7/2014 0:00
125,27,1816.87,0,0,7/7/2014 0:00
125,33,7030,0,0,1/1/1900 0:00
125,34,10720,0,0,7/7/2014 0:00
128,27,630,0,0,7/7/2014 0:00
128,33,100,0,0,1/1/1900 0:00
128,34,3600,327.27,3600,1/1/1900 0:00
128,35,388.75,0,0,1/1/1900 0:00
128,36,351,0,0,7/7/2014 0:00
128,49,120,0,0,1/1/1900 0:00
128,100,30,0,0,1/1/1900 0:00
129,27,1293.75,0,0,7/7/2014 0:00
